chunk_id,document_id,file_name,document_type,page_number,page_chunk_index,chunk_sequence,character_count,chunk_text
CHK_B3A5131AD2B4,DOC_448A3EF9F119,20260913_3e08fe23-d70e-424c-bc51-1222e320f902 (1).pdf,APPROVED_LABEL,5,1,11,1200,"Inducers Coadministered Drug Recommended BRUKINSA Dosage (Starting Dose: 160 mg twice daily or 320 mg once daily) * † Clarithromycin 250 mg twice daily 80 mg twice daily Clarithromycin 500 mg twice daily 80 mg once daily Posaconazole suspension 100 mg once daily 80 mg twice daily Posaconazole suspension dosage higher than 100 mg once daily Posaconazole delayed-release tablets 300 mg once daily Posaconazole intravenous 300 mg once daily 80 mg once daily Other strong CYP3A inhibitor 80 mg once daily Moderate CYP3A inhibitor 80 mg twice daily Strong CYP3A inducer Avoid concomitant use. Moderate CYP3A inducer Avoid concomitant use. If these inducers cannot be avoided, increase BRUKINSA dose to 320 mg twice daily. After discontinuation of a CYP3A inhibitor or moderate CYP3A inducer, resume previous dose of BRUKINSA [see Dosage and Administration (2.1, 2.2) and Drug Interactions (7.1)]. 2.4 Dosage Modifications for Adverse Reactions Recommended dosage modifications of BRUKINSA for Grade 3 or higher adverse reactions are provided in Table 2. Table 2: Recommended Dosage Modifications for Adverse Reaction Adverse Reaction Adverse Reaction Occurrence Dosage Modification (Starting Dose: 160 m"
CHK_27C64ACE78FB,DOC_448A3EF9F119,20260913_3e08fe23-d70e-424c-bc51-1222e320f902 (1).pdf,APPROVED_LABEL,5,2,12,831,"higher adverse reactions are provided in Table 2. Table 2: Recommended Dosage Modifications for Adverse Reaction Adverse Reaction Adverse Reaction Occurrence Dosage Modification (Starting Dose: 160 mg twice daily or 320 mg once daily) Hematological toxicities [see Warnings and Precautions (5.3)] Grade 3 or Grade 4 febrile neutropenia Platelet count decreased to First Interrupt BRUKINSA Once toxicity has resolved to Grade 1 or lower or baseline: Resume at 160 mg twice daily Since clarithromycin 250 mg twice daily acts as a moderate CYP3A inhibitor, it is recommended that patients be administered clarithromycin 250 mg twice daily with 80 mg BRUKINSA twice daily [see Clinical Pharmacology (12.3)]. Modify or interrupt zanubrutinib dose as recommended for adverse reactions [see Dosage and Administration (2.4)]. * † † † † † †"
CHK_7CCBF9846C90,DOC_448A3EF9F119,20260913_3e08fe23-d70e-424c-bc51-1222e320f902 (1).pdf,APPROVED_LABEL,6,1,13,1200,"* Platelet count decreased to 25,000-50,000/mm with significant bleeding Neutrophil count decreased to <500/mm (lasting more than 10 consecutive days) Platelet count decreased to <25,000/mm (lasting more than 10 consecutive days) or 320 mg once daily. Second Interrupt BRUKINSA Once toxicity has resolved to Grade 1 or lower or baseline: Resume at 80 mg twice daily or 160 mg once daily. Third Interrupt BRUKINSA Once toxicity has resolved to Grade 1 or lower or baseline: Resume at 80 mg once daily. Fourth Discontinue BRUKINSA Nonhematological toxicities [see Warnings and Precautions (5.5) and Adverse Reactions (6.1)] Severe or life-threatening nonhematological toxicities First Interrupt BRUKINSA Once toxicity has resolved to Grade 1 or lower or baseline: Resume at 160 mg twice daily or 320 mg once daily. Second Interrupt BRUKINSA Once toxicity has resolved to Grade 1 or lower or baseline: Resume at 80 mg twice daily or 160 mg once daily. Third Interrupt BRUKINSA Once toxicity has resolved to Grade 1 or lower or baseline: Resume at 80 mg once daily. Fourth Discontinue BRUKINSA Asymptomatic lymphocytosis in CLL and MCL should not be regarded as an adverse reaction, and these patients sh"
CHK_1AAC5925C9C9,DOC_448A3EF9F119,20260913_3e08fe23-d70e-424c-bc51-1222e320f902 (1).pdf,APPROVED_LABEL,6,2,14,733,"to Grade 1 or lower or baseline: Resume at 80 mg once daily. Fourth Discontinue BRUKINSA Asymptomatic lymphocytosis in CLL and MCL should not be regarded as an adverse reaction, and these patients should continue taking BRUKINSA. Refer to the obinutuzumab prescribing information for management of obinutuzumab toxicities. 3 DOSAGE FORMS AND STRENGTHS Capsules: Each 80 mg capsule is a size 0, white to off-white opaque capsule marked with ""ZANU 80"" in black ink. Tablets: 160 mg, blue, oval, film-coated tablets debossed with ""zanu"" on one side and functional scoring on the other side. 4 CONTRAINDICATIONS None. Evaluate the benefit-risk before resuming treatment at the same dosage for Grade 4 nonhematological toxicity. 3 3 3 * *"
CHK_1C0ABB7B4B7A,DOC_448A3EF9F119,20260913_3e08fe23-d70e-424c-bc51-1222e320f902 (1).pdf,APPROVED_LABEL,7,1,15,1200,"5 WARNINGS AND PRECAUTIONS 5.1 Hemorrhage Fatal and serious hemorrhage has occurred in patients with hematological malignancies treated with BRUKINSA. Grade 3 or higher hemorrhage including intracranial and gastrointestinal hemorrhage, hematuria, and hemothorax was reported in 3.8% of patients treated with BRUKINSA in clinical trials, with fatalities occurring in 0.2% of patients. Bleeding of any grade, excluding purpura and petechiae, occurred in 32% of patients. Bleeding has occurred in patients with and without concomitant antiplatelet or anticoagulation therapy. Coadministration of BRUKINSA with antiplatelet or anticoagulant medications may further increase the risk of hemorrhage. Monitor for signs and symptoms of bleeding. Discontinue BRUKINSA if intracranial hemorrhage of any grade occurs. Consider the benefit-risk of withholding BRUKINSA for 3-7 days before and after surgery depending upon the type of surgery and the risk of bleeding. 5.2 Infections Fatal and serious infections (including bacterial, viral, or fungal infections) and opportunistic infections have occurred in patients with hematological malignancies treated with BRUKINSA. Grade 3 or higher infections occurred i"
CHK_22E2646CA19D,DOC_448A3EF9F119,20260913_3e08fe23-d70e-424c-bc51-1222e320f902 (1).pdf,APPROVED_LABEL,7,2,16,1200,"(including bacterial, viral, or fungal infections) and opportunistic infections have occurred in patients with hematological malignancies treated with BRUKINSA. Grade 3 or higher infections occurred in 26% of patients, most commonly pneumonia (7.9%), with fatal infections occurring in 3.2% of patients. Infections due to hepatitis B virus (HBV) reactivation have occurred. Consider prophylaxis for herpes simplex virus, pneumocystis jirovecii pneumonia, and other infections according to standard of care in patients who are at increased risk for infections. Monitor and evaluate patients for fever or other signs and symptoms of infection and treat appropriately. 5.3 Cytopenias Grade 3 or 4 cytopenias, including neutropenia (21%), thrombocytopenia (8%), and anemia (8%) based on laboratory measurements, developed in patients treated with BRUKINSA [see Adverse Reactions (6.1)]. Grade 4 neutropenia occurred in 10% of patients, and Grade 4 thrombocytopenia occurred in 2.5% of patients. Monitor complete blood counts regularly during treatment and interrupt treatment, reduce the dose, or discontinue treatment as warranted [see Dosage and Administration (2.4)]. Treat using growth factor or tran"
CHK_EC92A998221E,DOC_448A3EF9F119,20260913_3e08fe23-d70e-424c-bc51-1222e320f902 (1).pdf,APPROVED_LABEL,7,3,17,687,"omplete blood counts regularly during treatment and interrupt treatment, reduce the dose, or discontinue treatment as warranted [see Dosage and Administration (2.4)]. Treat using growth factor or transfusions, as needed. 5.4 Second Primary Malignancies Second primary malignancies, including non-skin carcinoma, have occurred in 14% of patients treated with BRUKINSA. The most frequent second primary malignancy was non-melanoma skin cancers (8%), followed by other solid tumors in 7% of the patients (including melanoma in 1% of patients) and hematologic malignancies (0.7%). Advise patients to use sun protection and monitor patients for the development of second primary malignancies."
CHK_8C20195E143A,DOC_448A3EF9F119,20260913_3e08fe23-d70e-424c-bc51-1222e320f902 (1).pdf,APPROVED_LABEL,8,1,18,1200,"5.5 Cardiac Arrhythmias Serious cardiac arrhythmias have occurred in patients treated with BRUKINSA. Atrial fibrillation and atrial flutter were reported in 4.4% of patients treated with BRUKINSA, including Grade 3 or higher cases in 1.9% of patients. Patients with cardiac risk factors, hypertension, and acute infections may be at increased risk. Grade 3 or higher ventricular arrhythmias were reported in 0.3% of patients. Monitor for signs and symptoms of cardiac arrhythmias (e.g., palpitations, dizziness, syncope, dyspnea, chest discomfort), manage appropriately [see Dosage and Administration (2.4)], and consider the risks and benefits of continued BRUKINSA treatment. 5.6 Hepatotoxicity, Including Drug-Induced Liver Injury Hepatotoxicity, including severe, life-threatening, and potentially fatal cases of drug- induced liver injury (DILI), has occurred in patients treated with Bruton tyrosine kinase inhibitors, including BRUKINSA. Evaluate bilirubin and transaminases at baseline and throughout treatment with BRUKINSA. For patients who develop abnormal liver tests after BRUKINSA, monitor more frequently for liver test abnormalities and clinical signs and symptoms of hepatic toxicity"
CHK_41A7F3653686,DOC_448A3EF9F119,20260913_3e08fe23-d70e-424c-bc51-1222e320f902 (1).pdf,APPROVED_LABEL,8,2,19,1200,"roughout treatment with BRUKINSA. For patients who develop abnormal liver tests after BRUKINSA, monitor more frequently for liver test abnormalities and clinical signs and symptoms of hepatic toxicity. If DILI is suspected, withhold BRUKINSA. Upon confirmation of DILI, discontinue BRUKINSA. 5.7 Embryo-Fetal Toxicity Based on findings in animals, BRUKINSA can cause fetal harm when administered to a pregnant woman. Administration of zanubrutinib to pregnant rats during the period of organogenesis caused embryo-fetal toxicity, including malformations at exposures that were 5 times higher than those reported in patients at the recommended dose of 160 mg twice daily. Advise women to avoid becoming pregnant while taking BRUKINSA and for 1 week after the last dose. Advise men to avoid fathering a child during treatment and for 1 week after the last dose. If this drug is used during pregnancy, or if the patient becomes pregnant while taking this drug, the patient should be apprised of the potential hazard to a fetus [see Use in Specific Populations (8.1)]. 6 ADVERSE REACTIONS The following clinically significant adverse reactions are discussed in more detail in other sections of the labeli"
CHK_5D0031D58D00,DOC_448A3EF9F119,20260913_3e08fe23-d70e-424c-bc51-1222e320f902 (1).pdf,APPROVED_LABEL,8,3,20,748,"ntial hazard to a fetus [see Use in Specific Populations (8.1)]. 6 ADVERSE REACTIONS The following clinically significant adverse reactions are discussed in more detail in other sections of the labeling: Hemorrhage [see Warnings and Precautions (5.1)] Infections [see Warnings and Precautions (5.2)] Cytopenias [see Warnings and Precautions (5.3)] Second Primary Malignancies [see Warnings and Precautions (5.4)] Cardiac Arrhythmias [see Warnings and Precautions (5.5)] Hepatotoxicity, including DILI [see Warnings and Precautions (5.6)] 6.1 Clinical Trials Experience Because clinical trials are conducted under widely varying conditions, adverse reaction rates observed in the clinical trials of a drug cannot be directly compared to rates in the"
CHK_5B3687820A13,DOC_448A3EF9F119,20260913_3e08fe23-d70e-424c-bc51-1222e320f902 (1).pdf,APPROVED_LABEL,9,1,21,1200,"clinical trials of another drug and may not reflect the rates observed in practice. The data in the WARNINGS AND PRECAUTIONS reflect exposure to BRUKINSA in nine monotherapy and 2 combination clinical trials, administered at 160 mg twice daily in 1608 patients and at 320 mg once daily in 121 patients. Among these 1729 patients, the median duration of exposure was 27.6 months, 78% of patients were exposed for at least 12 months, and 60% of patients were exposed for at least 24 months. In this pooled safety population, the most common adverse reactions (≥30%), including laboratory abnormalities, were neutrophil count decreased (51%), platelet count decreased (41%), upper respiratory tract infection (38%), hemorrhage (32%), and musculoskeletal pain (31%). Mantle Cell Lymphoma (MCL) The safety of BRUKINSA was evaluated in 118 patients with MCL who received at least one prior therapy in two single-arm clinical trials, BGB-3111-206 [NCT03206970] and BGB-3111-AU-003 [NCT02343120] [see Clinical Studies (14.1)]. The median age of patients who received BRUKINSA in studies BGB-3111-206 and BGB-3111-AU-003 was 62 years (range: 34 to 86), 75% were male, 75% were Asian, 21% were White, and 94% h"
CHK_D64526882A11,DOC_448A3EF9F119,20260913_3e08fe23-d70e-424c-bc51-1222e320f902 (1).pdf,APPROVED_LABEL,9,2,22,1200,"l Studies (14.1)]. The median age of patients who received BRUKINSA in studies BGB-3111-206 and BGB-3111-AU-003 was 62 years (range: 34 to 86), 75% were male, 75% were Asian, 21% were White, and 94% had an ECOG performance status of 0 to 1. Patients had a median of 2 prior lines of therapy (range: 1 to 4). The BGB-3111-206 trial required a platelet count ≥75 × 10 /L and an absolute neutrophil count ≥1 × 10 /L independent of growth factor support, hepatic enzymes ≤2.5 × upper limit of normal, total bilirubin ≤1.5 × ULN. The BGB- 3111-AU-003 trial required a platelet count ≥50 × 10 /L and an absolute neutrophil count ≥1 × 10 /L independent of growth factor support, hepatic enzymes ≤3 × upper limit of normal, total bilirubin ≤1.5 × ULN. Both trials required a creatinine clearance (CLcr) ≥30 mL/min. Both trials excluded patients with prior allogeneic hematopoietic stem cell transplant, exposure to a BTK inhibitor, known infection with HIV, and serologic evidence of active hepatitis B or hepatitis C infection, and patients requiring strong CYP3A inhibitors or strong CYP3A inducers. Patients received BRUKINSA 160 mg twice daily or 320 mg once daily. Among patients receiving BRUKINSA, 79%"
CHK_145CD5379A73,DOC_448A3EF9F119,20260913_3e08fe23-d70e-424c-bc51-1222e320f902 (1).pdf,APPROVED_LABEL,9,3,23,1200,"patitis C infection, and patients requiring strong CYP3A inhibitors or strong CYP3A inducers. Patients received BRUKINSA 160 mg twice daily or 320 mg once daily. Among patients receiving BRUKINSA, 79% were exposed for 6 months or longer, and 68% were exposed for greater than one year. Fatal adverse reactions within 30 days of the last dose of BRUKINSA occurred in 8 (7%) of 118 patients with MCL. Fatal cases included pneumonia in 2 patients and cerebral hemorrhage in one patient. Serious adverse reactions were reported in 36 patients (31%). The most frequent serious adverse reactions that occurred were pneumonia (11%) and hemorrhage (5%). Of the 118 patients with MCL treated with BRUKINSA, 8 (7%) patients discontinued treatment due to adverse reactions in the trials. The most frequent adverse reaction leading to treatment discontinuation was pneumonia (3.4%). One (0.8%) patient experienced an adverse reaction leading to dose reduction (hepatitis B). Table 3 summarizes the adverse reactions in BGB-3111-206 and BGB-3111-AU-003. Table 3: Adverse Reactions (≥10%) in Patients Receiving BRUKINSA in BGB-3111-206 and BGB-3111-AU-003 Trials Body System Adverse Reaction Percent of Patients (N"
CHK_BB2915F77ACA,DOC_448A3EF9F119,20260913_3e08fe23-d70e-424c-bc51-1222e320f902 (1).pdf,APPROVED_LABEL,9,4,24,235,ons in BGB-3111-206 and BGB-3111-AU-003. Table 3: Adverse Reactions (≥10%) in Patients Receiving BRUKINSA in BGB-3111-206 and BGB-3111-AU-003 Trials Body System Adverse Reaction Percent of Patients (N=118) All Grades Grade 3 or 9 9 9 9
CHK_63CECBDF71FC,DOC_448A3EF9F119,20260913_3e08fe23-d70e-424c-bc51-1222e320f902 (1).pdf,APPROVED_LABEL,10,1,25,1200,"% Higher % * † ‡ § ¶ # Þ Infections and infestations Upper respiratory tract infection 39 0 Pneumonia 15 10 Urinary tract infection 11 0.8 Skin and subcutaneous tissue disorders Rash 36 0 Bruising 14 0 Gastrointestinal disorders Diarrhea 23 0.8 Constipation 13 0 Vascular disorders Hypertension 12 3.4 Hemorrhage 11 3.4 Musculoskeletal and connective tissue disorders Musculoskeletal pain 14 3.4 Respiratory, thoracic, and mediastinal disorders Cough 12 0 Other clinically significant adverse reactions that occurred in <10% of patients with mantle cell lymphoma include major hemorrhage (defined as ≥ Grade 3 hemorrhage or CNS hemorrhage of any grade) (5%) and headache (4.2%). Table 4: Selected Laboratory Abnormalities (>20%) in Patients with MCL in Studies BGB-3111-206 and BGB-3111-AU-003 Laboratory Parameter Percent of Patients (N=118) All Grades (%) Grade 3 or 4 (%) Hematologic abnormalities Neutrophils decreased 45 20 Lymphocytosis 41 16 Platelets decreased 40 7 Hemoglobin decreased 27 6 Upper respiratory tract infection includes upper respiratory tract infection, upper respiratory tract infection viral. Pneumonia includes pneumonia, pneumonia fungal, pneumonia cryptococcal, pneumonia"
CHK_3EE71E6938C3,DOC_448A3EF9F119,20260913_3e08fe23-d70e-424c-bc51-1222e320f902 (1).pdf,APPROVED_LABEL,10,2,26,756,"Upper respiratory tract infection includes upper respiratory tract infection, upper respiratory tract infection viral. Pneumonia includes pneumonia, pneumonia fungal, pneumonia cryptococcal, pneumonia streptococcal, atypical pneumonia, lung infection, lower respiratory tract infection, lower respiratory tract infection bacterial, lower respiratory tract infection viral. Includes fatal adverse reaction. Rash includes all related terms containing rash. Bruising includes all related terms containing bruise, bruising, contusion, ecchymosis. Hemorrhage includes all related terms containing hemorrhage, hematoma. Musculoskeletal pain includes musculoskeletal pain, musculoskeletal discomfort, myalgia, back pain, arthralgia, arthritis. * † ‡ § ¶ # ‡ Þ * †"
CHK_0EACA103A7E0,DOC_448A3EF9F119,20260913_3e08fe23-d70e-424c-bc51-1222e320f902 (1).pdf,APPROVED_LABEL,11,1,27,1200,"* † Chemistry abnormalities Blood uric acid increased 29 2.6 ALT increased 28 0.9 Bilirubin increased 24 0.9 Waldenström's Macroglobulinemia (WM) The safety of BRUKINSA was investigated in two cohorts of Study BGB-3111-302 (ASPEN). Cohort 1 included 199 patients with MYD88 mutation (MYD88 ) WM, randomized to and treated with either BRUKINSA (101 patients) or ibrutinib (98 patients). The trial also included a non-randomized arm, Cohort 2, with 26 wild type MYD88 (MYD88 ) WM patients and 2 patients with unknown MYD88 status [see Clinical Studies (14.2)]. Among patients who received BRUKINSA, 93% were exposed for 6 months or longer, and 89% were exposed for greater than 1 year. In Cohort 1 of the ASPEN study safety population (N=101), the median age of patients who received BRUKINSA was 70 years (45-87 years old); 67% were male, 86% were White, 4% were Asian, and 10% were not reported (unknown race). In Cohort 2 of the ASPEN study safety population (N=28), the median age of patients who received BRUKINSA was 72 (39-87 years old); 50% were male, 96% were White, and 4% were not reported (unknown race). In Cohort 1, serious adverse reactions occurred in 44% of patients who received BRUKI"
